model,feature_set,horizon,lookback,split_strategy,seed,prediction_anchor_date,threshold_calibration_end_date,n_threshold_samples,selected_threshold,candidate_threshold,validation_balanced_accuracy,validation_mcc,validation_predicted_up_rate,is_selected,selection_rule
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.0,0.5344350611531741,0.06814471190519389,0.48523206751054854,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.01,0.5301397786837507,0.09382285975388428,0.11392405063291139,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.02,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,42,2024-06-27,2024-06-26,237,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.0,0.5355998835177636,0.0785486437487237,0.7215189873417721,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.01,0.5406595806639487,0.08042823675711139,0.4978902953586498,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.02,0.5543462434478742,0.12047828170559526,0.2742616033755274,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.03,0.5100465928945835,0.051986462090127014,0.0379746835443038,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.04,0.4963235294117647,-0.05609643100310519,0.004219409282700422,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,2024,2024-06-27,2024-06-26,237,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.0,0.5081901572510192,0.028504659273520982,0.9113924050632911,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.01,0.528246942341293,0.06292432154168859,0.729957805907173,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.02,0.43120267909143856,-0.1366233500591778,0.5443037974683544,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.03,0.43866482236458937,-0.13139729055246296,0.3080168776371308,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.04,0.5087725684333139,0.051247650967874,0.029535864978902954,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,5,chronological_712,3407,2024-06-27,2024-06-26,237,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.0,0.5438235294117647,0.09207271643535726,0.6694915254237288,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.01,0.5435294117647059,0.0882078199150987,0.3898305084745763,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.02,0.5352941176470588,0.14765945930065905,0.059322033898305086,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,42,2024-06-28,2024-06-27,236,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.0,0.5133823529411765,0.08402187836707041,0.9745762711864406,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.01,0.5395588235294118,0.11419648706765392,0.864406779661017,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.02,0.4964705882352941,-0.007285180925920559,0.6440677966101694,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.03,0.5191176470588236,0.03818618905035816,0.4279661016949153,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.04,0.4964705882352941,-0.009933141807957062,0.1440677966101695,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.05,0.505,0.07607387227263504,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,2024,2024-06-28,2024-06-27,236,0.01,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.0,0.4851470588235294,-0.030355662607635586,0.6271186440677966,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.01,0.4561764705882353,-0.09207271643535726,0.3305084745762712,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.02,0.5266176470588235,0.11135984222258036,0.059322033898305086,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.03,0.4963235294117647,-0.055936670788702236,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,10,chronological_712,3407,2024-06-28,2024-06-27,236,0.02,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.0,0.5364705882352941,0.07713925327798311,0.6779661016949152,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.01,0.5301470588235294,0.0604632958921941,0.4152542372881356,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.02,0.524264705882353,0.09275299955721993,0.07203389830508475,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.03,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,42,2024-07-01,2024-06-28,236,0.0,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.0,0.5133823529411765,0.08402187836707041,0.9745762711864406,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.01,0.5208823529411765,0.058771089030412615,0.8559322033898306,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.02,0.4938235294117647,-0.01262314682693757,0.6271186440677966,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.03,0.5225,0.045506399477579396,0.3940677966101695,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.04,0.4985294117647059,-0.0048085815507051275,0.1016949152542373,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.08,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,2024,2024-07-01,2024-06-28,236,0.03,0.1,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.0,0.5185294117647059,0.03770191410466476,0.6186440677966102,1.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.01,0.5116176470588235,0.025137064783279716,0.2966101694915254,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.02,0.509264705882353,0.038760608066422994,0.059322033898305086,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.03,0.4963235294117647,-0.055936670788702236,0.00423728813559322,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.04,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.05,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.06,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
rnn,full_safe,5,15,chronological_712,3407,2024-07-01,2024-06-28,236,0.0,0.07,0.5,0.0,0.0,0.0,"balanced_accuracy,higher_mcc,closer_to_zero"
