output_root,run_dir,comparison_path,model,model_type,architecture,algo_base,graph_builder,graph_transform,objective,class_weight,feature_set,horizon,lookback,train_window_mode,min_train_periods,max_train_periods,pred_rows,agent_status,agent_pass,BalancedAcc,AUC,AP,DirAcc,R2_health,pred_constant_flag,health_flag,robust30_flag
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_euclidean_top5_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_euclidean_top5_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_euclidean_top5_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,knn_euclidean_top5,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_glasso_alpha05_no_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_glasso_alpha05_no_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_glasso_alpha05_no_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,glasso_alpha05,,direction_bce,balanced,no_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top5_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top3_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_cosine_top5_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top8_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_glasso_alpha05_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,glasso_alpha05,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb9_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb9_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_euclidean_top5_with_pca_lb9_h1_s43,tsl_graph,grugcn,grugcn,knn_euclidean_top5,,direction_bce,balanced,with_pca,1,9,expanding,108,,4,no_signal,False,0.75,1.0,1.0,0.75,,False,False,False
framework_tsl_graph_grugcn_exact_validate_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h1_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_exact_validate_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h1_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h1_s42,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,no_pca,1,6,expanding,108,,7,no_signal,False,0.7083,0.5833,0.747,0.7143,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top3_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top5_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top5_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top5_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top8_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_knn_cosine_top5_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_knn_cosine_top5_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_knn_cosine_top5_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,knn_euclidean_top5,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_glasso_alpha05_no_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_glasso_alpha05_no_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_glasso_alpha05_no_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,glasso_alpha05,,direction_bce,balanced,no_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top5_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_corr_abs_top8_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_corr_abs_top8_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_corr_abs_top8_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_knn_cosine_top5_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,knn_euclidean_top5,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h2_s42/comparison.csv,tsl_grugcn_direction_bce_tiny_glasso_alpha05_with_pca_lb6_h2_s42,tsl_graph,grugcn,grugcn,glasso_alpha05,,direction_bce,balanced,with_pca,2,6,expanding,108,,5,no_signal,False,0.6667,0.6667,0.8056,0.6,,False,False,False
framework_pyg_temporal_attention_directionbce_20260709_022859,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_attention_directionbce_20260709_022859/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top3,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6603,0.7312,0.6506,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,knn_euclidean_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6603,0.7312,0.6506,,False,True,True
framework_pyg_temporal_attention_directionbce_20260709_022859,tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_attention_directionbce_20260709_022859/tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,knn_cosine_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6597,0.7309,0.6506,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,spearman_abs_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6597,0.7309,0.6506,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6597,0.7309,0.6506,,False,True,True
framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_mtgcn_graphbuilder_expand_20260709_032909/tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,glasso_alpha05,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6597,0.7309,0.6506,,False,True,True
framework_pyg_temporal_attention_directionbce_20260709_022859,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_attention_directionbce_20260709_022859/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top8,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6636,0.6555,0.7292,0.6506,,False,True,True
graph_official_framework_shortlookback_20260709_000325,graphfw_extra_tree_gini_knn_cosine_top5_graph_stats_with_pca_lb2_h1,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_extra_tree_gini_knn_cosine_top5_graph_stats_with_pca_lb2_h1/comparison.csv,graphfw_extra_tree_gini_knn_cosine_top5_graph_stats_with_pca_lb2_h1,graph_official_pool,,extra_tree_gini,knn_cosine_top5,graph_stats,,,with_pca,1,2,expanding,24,,95,no_signal,False,0.6627,0.6622,0.6329,0.6632,-0.4008,False,False,True
graph_official_framework_shortlookback_20260709_000325,graphfw_mlp_small_tanh_corr_abs_top8_raw_diffuse2_no_pca_lb1_h2,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_mlp_small_tanh_corr_abs_top8_raw_diffuse2_no_pca_lb1_h2/comparison.csv,graphfw_mlp_small_tanh_corr_abs_top8_raw_diffuse2_no_pca_lb1_h2,graph_official_pool,,mlp_small_tanh,corr_abs_top8,raw_diffuse2,,,no_pca,2,1,expanding,24,,94,no_signal,False,0.6595,0.6434,0.6741,0.6596,-70.5558,False,False,True
framework_tsl_dcrnn_gwn_refine_h2_20260709_0647,tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb2_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_dcrnn_gwn_refine_h2_20260709_0647/tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb2_h2_s43/comparison.csv,tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb2_h2_s43,tsl_graph,graph_wavenet,graph_wavenet,corr_abs_top3,,direction_bce,balanced,no_pca,2,2,expanding,24,,93,no_signal,False,0.6524,0.6189,0.6847,0.6667,,False,True,True
framework_tsl_dcrnn_gwn_refine_h2_20260709_0647,tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb3_h2_s43,/root/corn_spike_sota/outputs/framework_tsl_dcrnn_gwn_refine_h2_20260709_0647/tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb3_h2_s43/comparison.csv,tsl_graph_wavenet_direction_bce_small_corr_abs_top3_no_pca_lb3_h2_s43,tsl_graph,graph_wavenet,graph_wavenet,corr_abs_top3,,direction_bce,balanced,no_pca,2,3,expanding,24,,92,no_signal,False,0.6493,0.6294,0.6663,0.6739,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,knn_euclidean_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6158,0.7171,0.6265,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6152,0.7167,0.6265,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,spearman_abs_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6152,0.7167,0.6265,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_knn_cosine_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,knn_cosine_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6152,0.7167,0.6265,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,glasso_alpha05,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6152,0.7167,0.6265,,False,True,True
framework_pyg_mtgnn_focus_withpca_h2_20260709_043738,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_focus_withpca_h2_20260709_043738/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top8_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top8,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.6116,0.7149,0.6265,,False,True,True
framework_pyg_mtgnn_longlookback_refine_20260709_0632,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_longlookback_refine_20260709_0632/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top3_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top3,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.5534,0.6637,0.6265,,False,True,True
framework_pyg_mtgnn_longlookback_refine_20260709_0632,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_longlookback_refine_20260709_0632/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_with_pca_lb12_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top5,,direction_bce,balanced,with_pca,2,12,expanding,24,,83,no_signal,False,0.6477,0.5534,0.6637,0.6265,,False,True,True
